status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Ames BJJ	Ames	IA	https://amesbrazilianjiu-jitsu.com	104 Kellogg Ave, Ames, IA 50010	REAL-BUT-WRONG-URL: amesbjj.com is NXDOMAIN (dns.google Status 3); body of amesbrazilianjiu-jitsu.com reads "Alliance Ames Brazilian JiuJitsu" with 104 Kellogg Ave, Ames, IA 50010 and a live Kicksite signup
SUSPECT-VERDICT	Burlington BJJ Iowa	Burlington	IA	https://www.kuttingedgejiujitsuacademy.com		REAL-BUT-WRONG-URL: no school trades as "Burlington BJJ Iowa"; body of kuttingedgejiujitsuacademy.com reads "I own and coach at Kutting Edge Jiu-Jitsu Academy in Burlington, IA" (owner Jarod Kirby, upstairs at the Bridgeview Suites)
SUSPECT-VERDICT	Alliance Jiu Jitsu Iowa	Cedar Rapids	IA			WRONG-ENTITY: no Alliance affiliate operates in Cedar Rapids; the only Alliance school in Iowa is Alliance Ames BJJ (body at amesbrazilianjiu-jitsu.com, IG alliancejjiowa) in Ames, so this record duplicates the Ames record with the wrong city
SUSPECT-VERDICT	Clinton BJJ Iowa	Clinton	IA	https://www.iowatopteam.com	123 Main Ave, Clinton, IA 52732	REAL-BUT-WRONG-URL: body of iowatopteam.com carries "IOWA TOP TEAM Boxing, 123 Main Ave, CLINTON, IA 52732" with a current BJJ and boxing schedule; no school trades as "Clinton BJJ Iowa"
SUSPECT-VERDICT	Council Bluffs BJJ	Council Bluffs	IA	https://www.cbbjj.com		REAL-BUT-WRONG-URL: councilbluffsbjj.com is NXDOMAIN (dns.google Status 3); the school trades as Council Bluffs Brazilian Jiu-Jitsu Academy on cbbjj.com with an active Instagram, but cbbjj.com returned an empty body so the URL is unconfirmed
SUSPECT-VERDICT	Fighting Gravity Jiu Jitsu	Davenport	IA			GONE: no website on record, no body found anywhere; absent from every current Davenport source checked, where Breaking Point and Tarpein's Dojo are the operating academies. Recommend a human recheck before deleting
SUSPECT-VERDICT	Dubuque BJJ	Dubuque	IA	https://dubuquebjj.com	3135 Cedar Crest Ridge Suite D, Dubuque, IA	REAL: body states "Dubuque Jiu-Jitsu is Dubuque's only accredited jujitsu school, operating out of 3135 Cedar Crest Ridge Suite D", affiliate of Tipping Point under John Gutta, copyright 2026
SUSPECT-VERDICT	Fort Dodge BJJ	Fort Dodge	IA			GONE: fortdodgebjj.com is NXDOMAIN (dns.google Status 3) and no Fort Dodge school trades under that name; BJJ in Fort Dodge is taught at Southside Martial Arts and Faiferlick Martial Arts, both listed separately
SUSPECT-VERDICT	Iowa City BJJ	Iowa City	IA	https://iowacitybjj.com		REAL: iowacitybjj.com resolves and serves a live Square Online site for ICBJJ with contact, programs, adults and about pages; Ascent Jiu Jitsu's owner bio independently records training and teaching at ICBJJ in Iowa City. Page body is JS-rendered so no street address could be read
SUSPECT-VERDICT	Marshalltown BJJ	Marshalltown	IA	https://www.zurajiujitsu.com	104 E Linn St STE B, Marshalltown, IA 50158	REAL-BUT-WRONG-URL: marshalltownbjj.com is NXDOMAIN (dns.google Status 3); zurajiujitsu.com body says "Zura Jiu-Jitsu is Marshalltown's only jiu-jitsu gym" with weekly schedule and 104 E Linn St STE B
SUSPECT-VERDICT	Mason City BJJ	Mason City	IA	https://www.tsunamiflowjiujitsu.com		REAL-BUT-WRONG-URL: masoncitybjj.com does not resolve (dns.google Status 2, delegation REFUSED, UNRESOLVED not NXDOMAIN); tsunamiflowjiujitsu.com body reads "a trusted academy for learning the martial art of jiu-jitsu in Mason City, Iowa" with named coaching staff
SUSPECT-VERDICT	Ottumwa BJJ	Ottumwa	IA	https://www.guardianjj.com	102 S Market St, Suite A, Ottumwa, IA 52501	REAL-BUT-WRONG-URL: ottumwabjj.com is NXDOMAIN (dns.google Status 3); guardianjj.com body carries "Guardian Jiujitsu and Judo trains students in the arts of Brazilian Jiujitsu and Kodokan Judo" plus 102 S Market St Suite A, Ottumwa IA 52501
SUSPECT-VERDICT	Sioux City BJJ	Sioux City	IA	https://jjxkbultd.com	6009 Gordon Dr, Sioux City, IA 51106	REAL-BUT-WRONG-URL: siouxcitybjj.com is NXDOMAIN (dns.google Status 3); jjxkbultd.com body is Jiu-Jitsu Unlimited, "Jiu-Jitsu classes in Sioux City", 6009 Gordon Dr, schedule image dated March 2026
SUSPECT-VERDICT	No Coast Brazilian Jiu Jitsu	Urbandale	IA	https://waukeemartialarts.com	8104 Douglas Ave, Urbandale, IA 50322	REAL: waukeemartialarts.com is genuinely No Coast's own domain - body header, og:site_name and footer all read "No Coast Brazilian Jiu Jitsu, 8104 Douglas Ave, Urbandale, Iowa 50322", copyright 2026. Domain name is a legacy of an earlier Waukee location, not a wrong link
SUSPECT-VERDICT	Waterloo BJJ	Waterloo	IA			WRONG-ENTITY: waterloobjj.com resolves to 51.222.143.2 but the body is a NamesPro.ca (Canadian registrar) placeholder reading "This page is the future home of www.waterloobjj.com - This domain is under construction". No school there. The operating Waterloo IA academy is Cedar Valley Jiu Jitsu, listed separately
NET-NEW	Des Moines Jiu-Jitsu Academy	Des Moines	IA	https://iowabjj.com	841 11th St, Des Moines, IA 50309	Contact page body gives "841 11th St., Des Moines, IA 50309", phone 515-999-0278, Caique Jiu-Jitsu affiliate with live schedule and enrolment pages
NET-NEW	Renzo Gracie Des Moines	Des Moines	IA	https://renzograciedesmoines.com	4711 University Ave, Des Moines, IA 50311	Body footer reads "Location: 4711 University Ave, Des Moines, IA 50311" with 2025-dated gallery and current class programs
NET-NEW	Precision Submission Grappling	Clive	IA	https://www.precisionsubmissiongrappling.com	2023 NW 92nd Court Suite A, Clive, IA 50325	Body header and location block both carry "2023 NW 92nd Court, Suite A, Clive, Iowa 50325"; page states "Clive, Iowa - Since 2024" and lists weekly Friday open mats
NET-NEW	Triumph Martial Arts Urbandale	Urbandale	IA	https://triumphma.com	8545 Hickman Road, Urbandale, IA 50322	Footer body lists Urbandale location 8545 Hickman Road; programs include Carlos Machado Brazilian Jiu-Jitsu for kids and adults; site carries an August 2026 back-to-school promo
NET-NEW	Triumph Martial Arts Pella	Pella	IA	https://triumphma.com	1582 Washington Street, Pella, IA 50219	Footer body lists Pella location 1582 Washington Street with the same Carlos Machado BJJ programs
NET-NEW	10th Planet Jiu Jitsu Des Moines	Altoona	IA		301 9th St NE, Altoona, IA 50009	Iowa's only 10th Planet school, operating in Altoona at 301 9th St NE; no standalone website found, runs on Facebook and Instagram as 10th Planet JiuJitsu Des Moines
NET-NEW	Elite Edge Gym Ankeny	Ankeny	IA	https://eliteedgegym.com	116 SE Lorenz Drive, Ankeny, IA 50021	Body of the jiu-jitsu page is written by founder Josh Neer describing "Elite Edge Jiu Jitsu Program and MMA Club" with adult BJJ trials; locations page body gives Ankeny 116 SE Lorenz Drive
NET-NEW	Tipping Point Brazilian Jiu Jitsu	Cedar Rapids	IA	https://www.tippingpointbjj.com	5313 N Park Pl NE, Cedar Rapids, IA 52402	Body header reads "5313 N Park Pl NE Cedar Rapids, IA 52402" with adult, women's and kids programs and a live trial-class form
NET-NEW	Hard Drive Performance Center	Cedar Rapids	IA	https://harddriveperformance.com	712 3rd Ave SE, Cedar Rapids, IA 52401	Body contact block gives 712 3rd Ave SE, Cedar Rapids, IA 52401; Brazilian Jiu Jitsu is a listed program; page modified June 2026
NET-NEW	Mission Athletics	Cedar Rapids	IA	https://phoenixdownbjj.com	5265 Rockwell Dr NE Ste 100, Cedar Rapids, IA 52402	Body announces "Phoenix Down Jiu Jitsu Has Joined Mission Athletics" and gives the new location 5265 Rockwell Dr NE Ste 100, Cedar Rapids, IA 52402; copyright 2026
NET-NEW	Citadel BJJ	Iowa City	IA	https://bjjiniowacity.com	2325 Naples Ave SW, Iowa City, IA 52240	Body footer reads "2325 Naples Ave SW, Iowa City, IA 52240", phone 319-855-8110, copyright 2026; head coach Matt Leighton, kids and adult programs
NET-NEW	Arroyo Grappling Academy	Iowa City	IA	https://arroyograppling.com	1604 Sycamore St, Iowa City, IA 52240	Body says "Located in the Sycamore Mall, one short bus ride away from campus", head coach Daniel Arroyo, affiliate of Foundation Chicago under Zenith; waiver PDF dated 2026
NET-NEW	Ascent Jiu Jitsu	Coralville	IA	https://ascent-jiujitsu.com	708 5th St Ste 3, Coralville, IA 52241	Body gives "708 5th St Ste 3, Coralville, IA 52241" and states the school opened in February 2026 under owner Mike Warner; current weekly hours listed
NET-NEW	Breaking Point Jiu-Jitsu	Davenport	IA	https://breakingpointbjj.com	3840 W River Dr, Davenport, IA 52802	Body contact block lists Davenport at 3840 W River Dr with daily hours; founded 2017 by Nate Fenton and Josh Hamilton, over 300 members
NET-NEW	Breaking Point Jiu-Jitsu Bettendorf	Bettendorf	IA	https://breakingpointbjj.com	6990 Competition Court, Bettendorf, IA 52722	Same body announces "Now Open: Our Bettendorf Location" and lists 6990 Competition Court, Bettendorf, IA 52722 with its own hours and membership signup
NET-NEW	Tarpein's Dojo	Davenport	IA	https://tarpeinsdojo.com	235 West 35th Street, Davenport, IA 52806	Body lists Brazilian Jiu-Jitsu among disciplines and gives "Davenport Iowa, 235 West 35th Street, Davenport, IA 52806"; Carlson Gracie logo in footer, copyright 2026
NET-NEW	Cedar Valley Jiu Jitsu	Waterloo	IA	https://cv-bjj.com	2325 Crossroads Blvd, Waterloo, IA 50701	Body gives "2325 Crossroads Blvd. Waterloo, IA 50701", Jeff Curran affiliate, with current class times and staffed gym hours; site content uploaded 2025
NET-NEW	Gracie Jiu-Jitsu Council Bluffs	Council Bluffs	IA	https://graciecb.com	3415 W Broadway Suite C, Council Bluffs, IA 51501	Body footer gives "3415 W Broadway Suite C Council Bluffs IA 51501"; Certified Gracie Jiu-Jitsu Training Center running Combatives, Bullyproof and Master Cycle, copyright 2026
NET-NEW	One Combat Academy	Sioux City	IA	https://fourseasonshealthclub.com/one-combat-academy	1600 7th St, Sioux City, IA 51101	Body describes One Combat Academy's BJJ program under black belt Jesse Perrin with a live Google class calendar; footer address 1600 7th St, Sioux City, IA 51101
NET-NEW	Southside Martial Arts	Fort Dodge	IA	https://southsidemartialarts.com	1028 S 22nd St, Fort Dodge, IA 50501	Body about section reads "Southside Martial Arts is the premier martial arts training center at 1028 S 22nd Street, Fort Dodge, IA" with Gi, No-Gi and youth Jiu Jitsu class pages and current pricing
NET-NEW	Faiferlick Martial Arts	Fort Dodge	IA	https://fortdodgemartialarts.com		Body of the Brazilian Jiu Jitsu page describes an Applied BJJ program serving Fort Dodge, Humboldt, Webster City, Manson and Rockwell City; also runs a Gracie Jiu-Jitsu certified training centre page. No street address in the body
NET-NEW	The Flow Institute Mason City	Mason City	IA	https://tfiexperience.com/mason-city	100 S Federal Ave, #109, Mason City, IA 50401	Body gives "100 S Federal Ave, #109, Mason City, IA 50401" with kids and adult jiu jitsu programs and free evaluation class booking; copyright 2026
NET-NEW	Olive Branch Jiu Jitsu	Fort Madison	IA	https://olivebranchjj.com	802 Avenue G, Fort Madison, IA 52627	Body footer gives "802 Avenue G, Fort Madison, IA 52627" with current weekly hours; head coach Joe Lestina, BJJ black belt under John Gutta, founded 2014
NET-NEW	Ludus Combat Sports	Mount Pleasant	IA			Olive Branch Jiu Jitsu's instructor page body states "During 2025, Mr. Ben also became the Co-Owner and head Jiu Jitsu Coach at Ludus Combat Sports in Mt. Pleasant, IA"; no website found, Facebook only
NET-NEW	Erebus Jiu Jitsu	Grinnell	IA	https://erebusjiujitsu.com		Family-friendly jiu jitsu club in downtown Grinnell between Des Moines and Iowa City, at 928 Main St, evening classes Mon Tue Wed Fri. Domain resolves and serves an about page but the body is JS-rendered and returned empty, so the address is unconfirmed
NET-NEW	Decorah Martial Arts	Decorah	IA	https://www.decorahmartialarts.com	216 W Water St, Decorah, IA 52101	Body footer gives "216 W Water St. Decorah, IA 52101" with current hours; Submission Wrestling program body reads "includes Wrestling, Jiu-Jitsu, and Judo" and the MMA program "integrates Jiu-Jitsu, Wrestling, and Striking"; page modified May 2026
