region	city	name	verdict	new_url	stored_url	evidence
AZ	Glendale	Cannon Brazilian Jiu-Jitsu	DEAD		https://www.cannonbjj.net/	NXDOMAIN (DNS Status 3) on both cannonbjj.net and www.cannonbjj.net
AZ	Phoenix	Checkmat Phoenix	DEAD		https://mkbjj.com/	DNS Status 2 REFUSED at delegation for both mkbjj.com and www.mkbjj.com (lame delegation; nameservers 69.20.95.4 / 65.61.188.4 refuse the zone). Domain does not
CA	Rocklin	Synergy Jiu-Jitsu Academy	KEEP	https://bjj-rocklin.com/	http://www.bjj-rocklin.com/	"Host/scheme normalisation. http://www.bjj-rocklin.com returned an empty body; https on the apex serves the real site: ""Synergy has been teaching Jiu-Jitsu since"
CA	San Diego	Atos BJJ San Diego	UNRESOLVED	https://atosjiujitsuhq.com/	https://atosjiujitsu.com	atosjiujitsu.com resolves (AWS 3.33.251.168/15.197.225.128) but returns an empty body on http and https, apex and www - no readable content, and it is not the a
CT	Wethersfield	Hartford Dojo	WRONG_ENTITY		http://gracieacademy.com/	gracieacademy.com is the Gracie Academy / Gracie University corporate domain in Torrance, CA (info@gracieacademy.com is the published Gracie University Torrance
FL	Miami	Refit Academy - Wynwood	DEAD		http://www.refit-academy.com	Apex refit-academy.com returns DNS Status 0 with no Answer and no A records (Cloudflare SOA only); www.refit-academy.com is NXDOMAIN
FL	Miami Beach	Black House Miami Beach	KEEP	https://blackhousemiamibeach.com/	http://www.blackhousemiamibeach.com	"Host/scheme normalisation: stored http://www host returns an empty body; https://blackhousemiamibeach.com/ renders the real gym - ""Black House Miami Beach"", off"
FL	Orlando	Central Florida BJJ	KEEP	http://www.avbjj.com/	https://offers.avbjj.com/free-2-week-pass	Stored URL is a GoHighLevel marketing funnel (offers.avbjj.com CNAME -> flash.funnels.msgsndr.com) that returns an empty body. The school's own homepage on the 
FL	Panama City	Rilion Gracie Jiu-Jitsu Panama City	KEEP	https://graciejiujitsupc.com/	http://jiujitsulynnhaven.com/	jiujitsulynnhaven.com resolves but returns an empty body on all four host/scheme combinations - it is the school's old Lynn Haven location domain and serves no 
MA	Salem	Dragon Within Mixed Martial Arts	KEEP	https://www.dragonwithinmartialarts.com/	dragonwithinmartialarts.com	"Host/scheme normalisation: apex and http://www return empty bodies; only https://www renders. That page is the real school - ""DWMMA, Inc - 11 Franklin St. Salem"
MA	Springfield	Fighting Arts Academy	KEEP	https://www.fightingartsacademy.com/	fightingartsacademy.com	"Host normalisation. The apex https://fightingartsacademy.com returned an empty body (Cloudflare-fronted); the www host serves the site: ""FAA is centrally locate"
NV	Las Vegas	Jiu-Jitsu Methods	KEEP	https://jiujitsumethodslv.com/	http://jiujitsumethods.com	Old domain redirects to jiujitsumethodslv.com - same business, not a different entity: 8645 S Rainbow Blvd #130, Las Vegas, (702) 844-9352, BJJ classes and open
NV	North Las Vegas	Kifaru Jitsu Academy of Martial Arts	NOT_GRAPPLING		http://www.kifarujitsu.com	"Domain is live and IS the correct organisation - its dojo listing names ""Kifaru Jitsu of North Las Vegas"", Head Instructor Stephanie Gorden 6th Dan, Neighborhoo"
NY	Albany	Brandon Abdullah's Martial Arts and Fitness	DEAD		https://www.albanybjj.com/	DNS Status 3 NXDOMAIN on both albanybjj.com and www.albanybjj.com (authority a.gtld-servers.net). Domain no longer registered
NY	Niagara Falls	Fight-Sport Training Center	DEAD		https://www.fightsporttrainingcenter.com/	NXDOMAIN (DNS Status 3) on both apex and www
NY	North Babylon	Gracie Barra North Babylon	DEAD		https://gbnorthbabylon.com	DNS Status 3 NXDOMAIN on both gbnorthbabylon.com and www.gbnorthbabylon.com. Domain no longer registered
NY	Queens	Touro Fajardo Brazilian Jiu Jitsu	DEAD		https://www.tourofajardobrazilianjiujitsu.com	NXDOMAIN (DNS Status 3) on both apex and www
NY	Utica	Utica Combat Athletics	DEAD		http://www.uticacombat.com	DNS Status 3 NXDOMAIN on both uticacombat.com and www.uticacombat.com. Domain no longer registered
OK	Tulsa	Relentless Martial Arts	NOT_GRAPPLING		relentlessmartialarts.com	Right entity (6202 S Sheridan Rd Tulsa, OK 74133, 918-527-7215) but no named grappling class. The site's own Schedule page lists only Kids Class, Teen Class, Pe
TX	Houston	Advantage BJJ Martial Arts & Fitness	WRONG_ENTITY		https://advantagebjj.com/	"Domain now serves an entirely different school. Title ""Lockhart Jiu Jitsu - LockHart Jiu Jitsu""; HQ 1100 State Park Rd 107, Lockhart, TX 78644, second location "
TX	La Marque	ACS Mixed Martial Arts	HIJACKED		http://acsmmatx.com/	"HOSTILE HIJACK, LIVE NOW. acsmmatx.com 301s to https://www.acsmmatx.com, which serves a Chinese-language page titled ""Bewei必威精装版下载_IOS安卓/通用版/APP官方网站"" (Betway/Be"
TX	San Antonio	Semper Fortis	KEEP	https://www.texasbjj.com/	https://www.brazil021sanantonio.com	brazil021sanantonio.com resolves (74.208.236.225) but returns an empty body - it is the school's old brand domain. The current site is the same school at the sa
WA	Tacoma	Brazilian Jiu-Jitsu Academy of Tacoma (Marcello C. Monteiro)	DEAD		www.253bjj.com	DNS Status 3 NXDOMAIN on both 253bjj.com and www.253bjj.com. Domain no longer registered
