verdict	region	name	city	url	action	evidence	source_url
NOT-BJJ	AK	Greatland Martial Arts	Anchorage	https://www.facebook.com/GreatlandMartialArts/	NONE	FB body (rendered): "Greatland Martial Arts in Eagle River, and offers classes in traditional martial arts as well as a M..." (bio cut off, no BJJ mention). Address read: 10336 E Eagle River Rd, Anchorage, AK, United States, 99577. Independent confirmation: United States Judo Association club directory lists "Greatland Martial Arts Judo Club - Eagle River" at 10336 E. Eagle River Loop Rd; a Dojo Finder listing categorizes it under Taekwondo; an obituary references "Judo and MMA at Greatland Martial Arts." No mention of Brazilian Jiu-Jitsu found on any page. Own domain greatlandmartialarts.com is dead (error page).	https://www.usja.net
NOT-BJJ	AK	Tonbo Dojo - Alaska Samurai Arts	Big Lake	(dead - see evidence)	NONE	FB (facebook.com/AlaskaSamuraiArts) returned "This content isn't available right now" on every attempt. Own domain alaskasamuraiarts.com is a Namecheap domain-for-auction parking page, not a real site. Settled via the umbrella organization's own site, namiryu.com, read directly: it lists "Alaska Nami Ryu Study Group (sponsored by Dojo of the West Wind) - Tonbo Dojo Big Lake, Alaska led by Steve Geddes" as one of its official study groups teaching Nami Ryu Aiki Heiho, described on that page as "based on Japanese sword arts (kenjutsu, iaijutsu and tantojutsu)... and Aiki-jujutsu," explicitly a historical predecessor to, not the same as, "modern arts including Brazilian Jiujitsu." This is traditional Japanese sword/aiki-jujutsu, not BJJ.	https://www.namiryu.com/
NOT-BJJ	AK	Shoshindo of Alaska	Wasilla	https://www.facebook.com/ShoshindoOfAK	NONE	FB body (rendered): "We are an art that focuses on making self-defense skills accessible to our customers." Address: 300 E Kalli Cir, 99654, Wasilla, AK (also serving Big Lake, Palmer, Houston AK). IG (instagram.com/shoshindo_of_ak) bio (rendered): "We are a family-driven martial art school serving our community in Wasilla, Alaska." Neither page uses the words Brazilian, Jiu-Jitsu, or BJJ anywhere. A Google-indexed snippet of the business's own Facebook content references "bunkai from one of our required katas" - kata/bunkai terminology is specific to karate/Okinawan striking arts and is not used in BJJ, supporting a non-BJJ verdict.	https://www.facebook.com/ShoshindoOfAK
WRONG-REGION	DE	Tribal BJJ	Ardmore, OK (not Dover, DE)	https://www.facebook.com/tribalbjj	NONE	Stored URL tribalbjj.com redirects to a dead GoDaddy /lander parked page ("This domain is registered, but may still be available"). Its Facebook page, facebook.com/tribalbjj, rendered directly and reads: "Tribal Jiu-Jitsu... We offer Adult and kid's Brazilian jiu jitsu classes." Address given on that page: 510 E. Street N.W., Ardmore, OK, United States, 73401 - Oklahoma, not Delaware. Independently corroborated by an Oklahoma Journal Record new-LLC filings PDF listing "TRIBAL JIU-JITSU LLC, 510 E STREET NW, ARDMORE, OK 73401, AARON MORRIS." No school named Tribal BJJ/Tribal Jiu-Jitsu was found in Dover, DE.	https://www.facebook.com/tribalbjj
UNVERIFIED	DE	Loyalty Brazilian Jiu-Jitsu	Dover	(none confirmed)	NONE	Could not render any first-party page. facebook.com/loyaltybjjde returned "This content isn't available right now"; instagram.com/loyaltybjjde returned "Sorry, this page isn't available." Multiple independent directories (Yelp, Yellow Pages, BookrGo, MapQuest) consistently give an address of 25 Maggies Way, Ste 3, Dover, DE 19901, (302) 538-0031 for "Loyalty Brazilian Jiu Jitsu," with a Yelp review naming "3rd Degree Black Belt Vicente Junior" as instructor - but that identical review text is also attached to a different Dover listing, "Meia Guarda Authentic Gracie Brazilian Jiu-Jitsu - Dover," suggesting a Yelp listing-merge error rather than independent confirmation. Per method rules, directory agreement is not corroboration and I could not read a first-party body.	https://www.yelp.com (directory only)
ADD	NB	B7 Jiu Jitsu	Woodstock	https://www.facebook.com/B7JiuJitsu/	ADD	Stored source (woodstocknb.ca/business-directory) had no matching listing findable via its own search. Found and rendered the operating school's own Facebook page directly: "🥋 Jiu Jitsu is back in Woodstock, NB! Top-tier coaching, facility, and classes for both adults & youth." Address: 162 Houlton St., Woodstock, NB, Canada, e7m1z1. Name differs from the stored placeholder "Woodstock NB BJJ" - the business trades as "B7 Jiu Jitsu." Trap flagged: an Instagram account "@woodstockbjj.ca" that ranks highly for "Woodstock BJJ" searches is actually located at 12 Kent Street, Woodstock, ONTARIO N4S 1E4 (confirmed by its own bio) - a different province, not this record.	https://www.facebook.com/B7JiuJitsu/
ADD	NB	Team Flow State	Saint John	https://www.facebook.com/FlowstateJJ/	ADD	FB body (rendered): "We are a Brazilian Jiu Jitsu club dedicated to the modern No Gi game. Operating in Saint John, New Brunswick. Coach/Owner: @coachjonwilliamsnb." Address: 8 Bayside Drive, Saint John, NB, Canada. Confirms Saint John, NB (no apostrophe) per the batch collision rule, not St. John's, NL.	https://www.facebook.com/FlowstateJJ/
ADD	NL	Foley's Martial Arts	Paradise	https://www.facebook.com/FoleysMartialArts/	ADD	FB body (rendered): "Now in our 44th year! We have many locations in operation around the Avalon peninsula. Providing we..." (bio genuinely ends there as authored - no "See more" control present). Address: Topsail rd, Paradise, NL, Canada, A1L 1P9 - Paradise is one of the ten permitted NL city strings. BJJ confirmation is weaker than ideal: the business's own domain foleysmartialarts.com carries the self-authored page title "Foleys Martial Arts - Kenpo Karate Kickboxing Gracie Jiu Jitsu BJJ Newfoundland Canada," but that domain's visible body text is minimal and does not itself restate "BJJ." Independent support: a sibling Foley location (Spaniards Bay) posts about a "Jiu Jitsu tournament... open to all Foley's Martial Arts - Pedro Sauer Team Canada members," and jasonfoleyma.com/about (a sibling Foley school's own page, read directly) confirms "Foley's Martial Arts in Paradise" is one of five genuinely distinct Foley-family schools, consistent with the addendum's note. Flagging that direct body-text BJJ confirmation for this specific location rests on a title tag plus network corroboration rather than this page's own prose.	https://foleysmartialarts.com/ ; https://www.jasonfoleyma.com/about
ADD	NS	Woodshop Jiu-Jitsu	Antigonish	https://www.facebook.com/woodshopjits	ADD	FB body (rendered): "Antigonish Woodshop Jiu-Jitsu... No-gi jiu-jitsu - Sun, Tues, & Thurs @ 7pm; Women's & Youth - Sun @ 5:45; Kickboxing Friday @ 7pm; Open Mat - Saturday @ 12noon." Address: 400 Williams Point Rd, Antigonish, NS, Canada, B2G 0B4.	https://www.facebook.com/woodshopjits
ADD	NS	Shiretown Grappling Club	Pictou	https://www.instagram.com/shiretownbjj	ADD	IG bio (rendered): "Shiretown Grappling Club / PCBJJ Little Lobsters... Affiliate ➡️ Pictou County BJJ... 🚨Classes: Sunday, Monday & Thursday 📌Hector Arena-Pictou, NS." Address: 31 Naylor Drive, Pictou, Nova Scotia.	https://www.instagram.com/shiretownbjj
