status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Elite Jiu-Jitsu Academy	Pocatello	ID	https://www.idahobjj.com	1800 Garrett Way Suite 24, Pocatello, ID 83201	WRONG-ENTITY on stored URL: elitejiujitsu.com body carries one address, 280 East Main Street 114 Newark DE 19711, phone 302-738-9988, Delaware gym. Real Idaho school is Elite Jiu-Jitsu Academy at idahobjj.com, body titled elite jiu-jitsu academy - Pocatello, Rigan Machado affiliate under Mark Massey, maps embed at 42.878N 112.460W is Pocatello. Directory also has wrong city, listed as Boise. Idaho phone 208-589-4215
SUSPECT-VERDICT	Coeur d'Alene BJJ	Coeur d'Alene	ID	https://cdajiujitsu.com	7680 N Government Way 2, Dalton Gardens, ID 83815	REAL-BUT-WRONG-URL: cdalenebjj.com DNS Status 3 NXDOMAIN, coeurdalenebjj.com also NXDOMAIN. Live school using the same CDA abbreviation is CDA Jiu-Jitsu, body headline BRAZILIAN JIU JITSU COEUR D ALENE and Jiu-Jitsu For The Coeur d Alene Area, Rigan Machado black belt Shawn Lawrence, footer address ZIP 83815 and phone 208-601-6120
SUSPECT-VERDICT	Nampa BJJ	Nampa	ID	https://www.208jiujitsuacademy.com	8849 Grizzly Ln, Nampa, ID 83686	REAL-BUT-WRONG-URL: nampabjj.com DNS Status 3 NXDOMAIN. Nampa's established BJJ academy is 208 Jiu Jitsu Academy, own site body live with classes and pricing pages, black belt Sam Campanella cited as lineage head by other Idaho gyms. Nampa ID 83686, phone 208-830-0409
SUSPECT-VERDICT	Sandpoint BJJ	Sandpoint	ID	https://www.northidahojiujitsu.com	1411 N Division Ave Unit D, Sandpoint, ID 83864	REAL-BUT-WRONG-URL: sandpointbjj.com DNS Status 3 NXDOMAIN. North Idaho Jiu Jitsu body carries full current schedule dated November 2025 and gallery entries through June 2026, footer address and phone 208-536-3921, Sandpoint ID 83864
SUSPECT-VERDICT	Snake River MMA	Pocatello	ID			GONE as a Pocatello entity: snakerivermma.com DNS Status 3 NXDOMAIN and no Pocatello business of this name appears in any current source. Pocatello's live grappling gyms are Pocatello Jiu Jitsu 83201 and Colossal Fight Company 83201, both listed separately. Only Idaho match on the name is Sidekicks MMA and Snake River Jiu Jitsu in NAMPA 83687, listed as its own row
ALREADY-IN	SOMA Jiu-Jitsu Academy Idaho Falls	Idaho Falls	ID	https://www.idahofallsbjj.com	1572 N Hitt Road, Idaho Falls, ID 83401	Stored URL idahofallsbjj.com resolves and body is SOMA Jiu-Jitsu Academy Idaho Falls, head instructor Jared Emfield, footer address and phone 208-524-4414. Directory name Idaho Falls BJJ should read SOMA Jiu-Jitsu Academy Idaho Falls. ZIP 83401
ALREADY-IN	SOMA Jiu-Jitsu Academy Rexburg	Rexburg	ID	https://www.rexburgbjj.com	257 N 2nd W, Rexburg, ID 83440	Stored URL rexburgbjj.com resolves and body is SOMA Jiu-Jitsu Academy, established Idaho Falls 1994, over 30 years in East Idaho, footer address and phone 208-516-0540. Directory name Rexburg BJJ should read SOMA Jiu-Jitsu Academy Rexburg. ZIP 83440
ALREADY-IN	Arnett's Martial Arts America	Lewiston	ID	https://martialartsamericaid.com	650 Thain Road, Lewiston, ID 83501	Directory record Lewiston ID BJJ had no URL. Body has a dedicated Brazilian Jiu-Jitsu class page and repeats Lewiston throughout, contact block 650 Thain Road Lewiston IDAHO 83501, phone 208-798-8324. This is Lewiston IDAHO not Lewiston Maine, ZIP 83501 and 208 area code
ALREADY-IN	Team Rhino Gracie Jiu-Jitsu	Meridian	ID	https://teamrhinoidaho.com	750 S Progress 125, Meridian, ID 83642	Directory record Meridian BJJ Idaho had no URL, no Meridian school trades under that literal name. Best match by inference is Team Rhino, body states EST 1993 MERIDIAN IDAHO, opened by Keith and Shirlane Owen, Pedro Sauer lineage, Idaho's longest-standing academy, footer address and phone 208 846 9119. Note site carries leftover template metadata referencing a Virginia Beach LFT Gym, body is unambiguously Meridian ID 83642
ALREADY-IN	West Idaho BJJ	Star	ID	https://westidahobjj.com	11231 W Hercules Dr, Star, ID 83669	Directory record Authentic BJJ Idaho had no URL. West Idaho BJJ markets world-class authentic Brazilian Jiu-Jitsu in Star Idaho, which is where the directory name came from. Site body carries membership and program copy, contact page opt-out text gives phone 208-614-2234. Star ID 83669, 208 area code. Yemaso Brazilian Jiujitsu affiliate
ALREADY-IN	Alliance Jiu Jitsu Twin Falls	Twin Falls	ID	https://alliancetf.com	647 Filer Ave 101, Twin Falls, ID 83301	Directory record had no URL. Body reads Welcome to SIBJJ, we are an Alliance Jiu Jitsu affiliate, footer address 647 Filer Ave 101 Twin Falls ID 83301 and phone 208-649-6923. Also trades as Southern Idaho Brazilian Jiu Jitsu. ZIP 83301
NET-NEW	Gracie Barra Boise	Garden City	ID	https://graciebarra.com/boise-id	5681 N Glenwood St, Garden City, ID 83714	Gracie Barra school page body repeats 5681 N Glenwood St Garden City Idaho with full weekly hours and phone 208-488-4599. School brands as Boise, physical address is Garden City ID, 208 area code
NET-NEW	Gracie Barra South Boise	Boise	ID	https://gbsouthboise.com	8958 W Ardene St, Boise, ID 83709	Body has Get to Know GRACIE BARRA SOUTH BOISE, Professor Jason Kremer, working hours block, footer we are located at 8958 W Ardene St Boise ID 83709 and phone 208-579-2417. Distinct school from Gracie Barra Southeast Boise, different address and different professor. ZIP 83709
NET-NEW	Gracie Barra Southeast Boise	Boise	ID	https://gbsoutheastboise.com	2475 S Apple St Suite 104, Boise, ID 83706	Body Our Location block reads Gracie Barra Jiu Jitsu 2475 S Apple St Suite 104 Boise ID 83706, phone 208-850-0103, Professor Scott Carr, hours listed. ZIP 83706
NET-NEW	SBG Idaho	Boise	ID	https://sbgidaho.com	1522 W River St, Boise, ID 83702	Straight Blast Gym Idaho, body headline BOISE'S BEST JIU JITSU MARTIAL ARTS AND MUAY THAI CLASSES, footer 1522 W River St Boise ID 83702 and phone 208-935-6264. Facebook handle CombatFitnessBoise. ZIP 83702
NET-NEW	Self Reliant Jiu Jitsu	Boise	ID	https://www.selfreliantjiujitsu.com	2769 S Broadway Ave, Boise, ID 83706	Body says facility opened 2022 under world champion black belt J Andrew Thomas, Connect With Us page body gives 2769 S Broadway Ave Boise ID 83706 and phone 208-917-3740. ZIP 83706
